num,PET,variation,category,orig_text,clean_text,char_count,word_count,edited_text,label
1,akıl hastası,akıl hastası,physical/mental attributes,"Takvim'de yer alan habere göre Akkaya, kızı Ayşe'nin jimnastik dersinde çekilen fotoğrafını önceki gün İnstagram'da n takipçileriyle paylaştı. Minik kızın fotoğrafının altına yapılan çirkin bir yorum eski mankeni çileden çıkardı. ""Bu leş, akıl hastası pis sapık, çocuk fotoğrafları altına iğrenç yazılar yazmakta! Bu sapığı elbirliği ile şikâyet edelim ve anasından doğduğuna pişman edelim!"" diyen Akkaya, takipçisini mahkemeye vereceğini söyledi..","takvim'de yer alan habere göre akkaya, kızı ayşe'nin jimnastik dersinde çekilen fotoğrafını önceki gün i̇nstagram'da n takipçileriyle paylaştı. minik kızın fotoğrafının altına yapılan çirkin bir yorum eski mankeni çileden çıkardı. ""bu leş, akıl hastası pis sapık, çocuk fotoğrafları altına iğrenç yazılar yazmakta! bu sapığı elbirliği ile şikâyet edelim ve anasından doğduğuna pişman edelim!"" diyen akkaya, takipçisini mahkemeye vereceğini söyledi..",449,59,"Takvim'de yer alan habere göre Akkaya, kızı Ayşe'nin jimnastik dersinde çekilen fotoğrafını önceki gün İnstagram'da n takipçileriyle paylaştı. Minik kızın fotoğrafının altına yapılan çirkin bir yorum eski mankeni çileden çıkardı. ""Bu leş, [PET_BOUNDARY]akıl hastası[PET_BOUNDARY] pis sapık, çocuk fotoğrafları altına iğrenç yazılar yazmakta! Bu sapığı elbirliği ile şikâyet edelim ve anasından doğduğuna pişman edelim!"" diyen Akkaya, takipçisini mahkemeye vereceğini söyledi..",1
2,akıl hastası,akıl hastası,physical/mental attributes,"Kanada’da akıl hastası adam önüne geleni bıçakladı.Kanada’nın Toronto şehrinde dehşet veren bir olay yaşandı. Kaldırımda korkutucu bir şekilde yürüyen akıl hastası şahıs, önce bir adamı, ardından da kadını bıçakladı. Yaralanan kişiler hemen hastaneye kaldırılırken, saldırgan ise kısa süre içinde yakalandı. Etiketler: Kanada","kanada’da akıl hastası adam önüne geleni bıçakladı.kanada’nın toronto şehrinde dehşet veren bir olay yaşandı. kaldırımda korkutucu bir şekilde yürüyen akıl hastası şahıs, önce bir adamı, ardından da kadını bıçakladı. yaralanan kişiler hemen hastaneye kaldırılırken, saldırgan ise kısa süre içinde yakalandı. etiketler: kanada",325,42,"Kanada’da [PET_BOUNDARY]akıl hastası[PET_BOUNDARY] adam önüne geleni bıçakladı.Kanada’nın Toronto şehrinde dehşet veren bir olay yaşandı. Kaldırımda korkutucu bir şekilde yürüyen akıl hastası şahıs, önce bir adamı, ardından da kadını bıçakladı. Yaralanan kişiler hemen hastaneye kaldırılırken, saldırgan ise kısa süre içinde yakalandı. Etiketler: Kanada",1
3,akıl hastası,akıl hastası,physical/mental attributes,"İSTANBUL DHA Anadolu 40. Asliye Ceza Mahkemesi’nde görülen davanın 2. duruşmada tutuksuz sanık Abdullah Çakıroğlu ve mağdur Ayşegül Terzi’yi avukatları temsil etti. Sanığın tutuklanma talebini reddeden mahkeme Çakıroğlu’nun akıl hastası olup olmadığının tespit edilmesi için 3 haftayı geçmemek üzere gözlem altına alınmasına karar verdi. Duruşma 18 Ocak 2017’ye ertelendi. Etiketler: Anadolu , çekmeköy","i̇stanbul dha anadolu 40. asliye ceza mahkemesi’nde görülen davanın 2. duruşmada tutuksuz sanık abdullah çakıroğlu ve mağdur ayşegül terzi’yi avukatları temsil etti. sanığın tutuklanma talebini reddeden mahkeme çakıroğlu’nun akıl hastası olup olmadığının tespit edilmesi için 3 haftayı geçmemek üzere gözlem altına alınmasına karar verdi. duruşma 18 ocak 2017’ye ertelendi. etiketler: anadolu , çekmeköy",403,53,"İSTANBUL DHA Anadolu 40. Asliye Ceza Mahkemesi’nde görülen davanın 2. duruşmada tutuksuz sanık Abdullah Çakıroğlu ve mağdur Ayşegül Terzi’yi avukatları temsil etti. Sanığın tutuklanma talebini reddeden mahkeme Çakıroğlu’nun [PET_BOUNDARY]akıl hastası[PET_BOUNDARY] olup olmadığının tespit edilmesi için 3 haftayı geçmemek üzere gözlem altına alınmasına karar verdi. Duruşma 18 Ocak 2017’ye ertelendi. Etiketler: Anadolu , çekmeköy",0
4,amansız hastalık,amansız hastalıktan,illness,"Yakalandığı amansız hastalıktan kurtulamayarak vefat eden Türk basının önde gelen isimlerinden İsmet Tongo, Levent Camii'nde kılınan öğle namazının ardından Zincirlikuyu Mezarlığı'nda toprağıa verildi. Tongo'nun cenazesine, Türkiye Futbol Direktörü Fatih Terim, Türkiye Futbol Federasyonu'nun eski Başkanı Haluk Ulusoy, teknik direktör Mustafa Denizli, Bülent Ünder, Müfit Erkasap, ailesi, yakınları ve çok sayıda spor gazeteci dostu katıldı.","yakalandığı amansız hastalıktan kurtulamayarak vefat eden türk basının önde gelen isimlerinden i̇smet tongo, levent camii'nde kılınan öğle namazının ardından zincirlikuyu mezarlığı'nda toprağıa verildi. tongo'nun cenazesine, türkiye futbol direktörü fatih terim, türkiye futbol federasyonu'nun eski başkanı haluk ulusoy, teknik direktör mustafa denizli, bülent ünder, müfit erkasap, ailesi, yakınları ve çok sayıda spor gazeteci dostu katıldı.",443,54,"Yakalandığı [PET_BOUNDARY]amansız hastalıktan[PET_BOUNDARY] kurtulamayarak vefat eden Türk basının önde gelen isimlerinden İsmet Tongo, Levent Camii'nde kılınan öğle namazının ardından Zincirlikuyu Mezarlığı'nda toprağa verildi. Tongo'nun cenazesine, Türkiye Futbol Direktörü Fatih Terim, Türkiye Futbol Federasyonu'nun eski Başkanı Haluk Ulusoy, teknik direktör Mustafa Denizli, Bülent Ünder, Müfit Erkasap, ailesi, yakınları ve çok sayıda spor gazeteci dostu katıldı.",1
5,amansız hastalık,amansız hastalıkla,illness,"İbrahim Hacıosmanoğlu döneminde yönetime giren Çakıroğlu’nun cenazesi bugün ikindi vaktinde İstanbul Pendik Merkez Camii’nde kılınacak cenaze namazı sonrasında son yolculuğuna uğurlanacak. Bordo-mavili kulübün mesajında, ""Uzun süredir amansız hastalıkla mücadele eden Çakıroğlu, maalesef hayata tutunamadı. Merhuma Allah’tan rahmet, kederli ailesine sabır diliyoruz. Camiamızın başı sağ olsun"" denildi.","i̇brahim hacıosmanoğlu döneminde yönetime giren çakıroğlu’nun cenazesi bugün ikindi vaktinde i̇stanbul pendik merkez camii’nde kılınacak cenaze namazı sonrasında son yolculuğuna uğurlanacak. bordo-mavili kulübün mesajında, ""uzun süredir amansız hastalıkla mücadele eden çakıroğlu, maalesef hayata tutunamadı. merhuma allah’tan rahmet, kederli ailesine sabır diliyoruz. camiamızın başı sağ olsun"" denildi.",404,46,"İbrahim Hacıosmanoğlu döneminde yönetime giren Çakıroğlu’nun cenazesi bugün ikindi vaktinde İstanbul Pendik Merkez Camii’nde kılınacak cenaze namazı sonrasında son yolculuğuna uğurlanacak. Bordo - mavili kulübün mesajında, ""Uzun süredir [PET_BOUNDARY]amansız hastalıkla[PET_BOUNDARY] mücadele eden Çakıroğlu, maalesef hayata tutunamadı. Merhuma Allah’tan rahmet, kederli ailesine sabır diliyoruz. Camiamızın başı sağ olsun"" denildi.",1
6,aramızdan ayrıldı,aramızdan ayrıldı,death,TSYD İstanbul Şube Başkanı ve Cumhuriyet Gazetesi Spor Müdürü Arif Kızılyalın'ın annesi Nagihan Kızılyalın aramızdan ayrıldı. Nagihan Kızılyalın son yolculuğuna 22 Mart Pazar günü öğle namazına müteakip Şişli Camii'nden uğurlanacak. Kızılyalın'ın cenazesi Bebek'teki Aşiyan Mezarlığı'nda toprağa verilecek. Cumhuriyet.com.tr olarak Sayın Arif Kızılyalın ve ailesine başsağlığı diliyoruz.,tsyd i̇stanbul şube başkanı ve cumhuriyet gazetesi spor müdürü arif kızılyalın'ın annesi nagihan kızılyalın aramızdan ayrıldı. nagihan kızılyalın son yolculuğuna 22 mart pazar günü öğle namazına müteakip şişli camii'nden uğurlanacak. kızılyalın'ın cenazesi bebek'teki aşiyan mezarlığı'nda toprağa verilecek. cumhuriyet.com.tr olarak sayın arif kızılyalın ve ailesine başsağlığı diliyoruz.,388,46,TSYD İstanbul Şube Başkanı ve Cumhuriyet Gazetesi Spor Müdürü Arif Kızılyalın'ın annesi Nagihan Kızılyalın [PET_BOUNDARY]aramızdan ayrıldı[PET_BOUNDARY]. Nagihan Kızılyalın son yolculuğuna 22 Mart Pazar günü öğle namazına müteakip Şişli Camii'nden uğurlanacak. Kızılyalın'ın cenazesi Bebek'teki Aşiyan Mezarlığı'nda toprağa verilecek. Cumhuriyet.com.tr olarak Sayın Arif Kızılyalın ve ailesine başsağlığı diliyoruz.,1
7,aramızdan ayrıldı,aramızdan ayrılışının,death,"Sarı-kırmızılı kulübün internet sitesinde yer alan mesajda, ""Teknik direktörlük yaptığı 1984-1988 yılları arasında Galatasaray'a unutulmaz başarılar yaşatan, aynı zamanda Türk futbolunun gelişimi için büyük katkılar sağlayan Jupp Derwall'i aramızdan ayrılışının 7. yılında özlem ve saygıyla anıyoruz"" denildi. Derwall, 1986-1987 futbol sezonunda 14 yıl aradan sonra ligde şampiyonluğa ulaşan sarı-kırmızılı takımın teknik direktörüydü.","sarı-kırmızılı kulübün internet sitesinde yer alan mesajda, ""teknik direktörlük yaptığı 1984-1988 yılları arasında galatasaray'a unutulmaz başarılar yaşatan, aynı zamanda türk futbolunun gelişimi için büyük katkılar sağlayan jupp derwall'i aramızdan ayrılışının 7. yılında özlem ve saygıyla anıyoruz"" denildi. derwall, 1986-1987 futbol sezonunda 14 yıl aradan sonra ligde şampiyonluğa ulaşan sarı-kırmızılı takımın teknik direktörüydü.",435,52,"Sarı - kırmızılı kulübün internet sitesinde yer alan mesajda, ""Teknik direktörlük yaptığı 1984 - 1988 yılları arasında Galatasaray'a unutulmaz başarılar yaşatan, aynı zamanda Türk futbolunun gelişimi için büyük katkılar sağlayan Jupp Derwall'i [PET_BOUNDARY]aramızdan ayrılışının[PET_BOUNDARY] 7. yılında özlem ve saygıyla anıyoruz"" denildi. Derwall, 1986 - 1987 futbol sezonunda 14 yıl aradan sonra ligde şampiyonluğa ulaşan sarı - kırmızılı takımın teknik direktörüydü.",1
8,aramızdan ayrıldı,aramızdan ayrılan,death,"Onur Aydın’ın ‘Yağmur-Kıyamet Çiçeği’ kitabından aynı isimle beyazperdeye aktarılan ve amansız hastalığı nedeniyle 33 yaşındayken aramızdan ayrılan, Kazım Koyuncu’nun hayatının bir bölümünün anlatıldığı ‘Yağmur-Kıyamet Çiçeği’ filmi sanatçının 43’üncü doğum günü olan 7 Kasım’da vizyona girecek. Filmin oyuncu kadrosunda Engin Hepileri, Altan Erkekli, Devrim Saltoğlu, ve Sevtap Erkan Köstengil yer alıyor.","onur aydın’ın ‘yağmur-kıyamet çiçeği’ kitabından aynı isimle beyazperdeye aktarılan ve amansız hastalığı nedeniyle 33 yaşındayken aramızdan ayrılan, kazım koyuncu’nun hayatının bir bölümünün anlatıldığı ‘yağmur-kıyamet çiçeği’ filmi sanatçının 43’üncü doğum günü olan 7 kasım’da vizyona girecek. filmin oyuncu kadrosunda engin hepileri, altan erkekli, devrim saltoğlu, ve sevtap erkan köstengil yer alıyor.",406,50,"Onur Aydın’ın ‘Yağmur - Kıyamet Çiçeği’ kitabından aynı isimle beyazperdeye aktarılan ve amansız hastalığı nedeniyle 33 yaşındayken [PET_BOUNDARY]aramızdan ayrılan[PET_BOUNDARY], Kazım Koyuncu’nun hayatının bir bölümünün anlatıldığı ‘Yağmur - Kıyamet Çiçeği’ filmi sanatçının 43’üncü doğum günü olan 7 Kasım’da vizyona girecek. Filmin oyuncu kadrosunda Engin Hepileri, Altan Erkekli, Devrim Saltoğlu, ve Sevtap Erkan Köstengil yer alıyor.",1
9,aramızdan ayrıldı,aramızdan ayrılan,death,"Birleşmiş Ressamlar ve Heykeltraşlar Derneği Yönetim Kurulu Başkanı Önder Aydın, yaptığı yazılı açıklamada, Türkan Saylan'ı  Cumhuriyet'in yetiştirdiği çok değerli bilim kadını, ödünsüz Atatürkçü ve çağdaş yaşamın yılmaz savaşçısı olarak niteledi ve ""Büyük bir boşluk bırakarak aramızdan ayrılan hocamızın idealleri aynı kararlılıkla yaşatılacaktır. Aydınlıktan, uygarlıktan ve insanlıktan yana olan tüm halkımızın başı sağolsun.Anısı ve mücadelesi önünde saygıyla eğiliyoruz"" dedi.","birleşmiş ressamlar ve heykeltraşlar derneği yönetim kurulu başkanı önder aydın, yaptığı yazılı açıklamada, türkan saylan'ı  cumhuriyet'in yetiştirdiği çok değerli bilim kadını, ödünsüz atatürkçü ve çağdaş yaşamın yılmaz savaşçısı olarak niteledi ve ""büyük bir boşluk bırakarak aramızdan ayrılan hocamızın idealleri aynı kararlılıkla yaşatılacaktır. aydınlıktan, uygarlıktan ve insanlıktan yana olan tüm halkımızın başı sağolsun.anısı ve mücadelesi önünde saygıyla eğiliyoruz"" dedi.",482,58,"Birleşmiş Ressamlar ve Heykeltraşlar Derneği Yönetim Kurulu Başkanı Önder Aydın, yaptığı yazılı açıklamada, Türkan Saylan'ı  Cumhuriyet'in yetiştirdiği çok değerli bilim kadını, ödünsüz Atatürkçü ve çağdaş yaşamın yılmaz savaşçısı olarak niteledi ve ""Büyük bir boşluk bırakarak [PET_BOUNDARY]aramızdan ayrılan[PET_BOUNDARY] hocamızın idealleri aynı kararlılıkla yaşatılacaktır. Aydınlıktan, uygarlıktan ve insanlıktan yana olan tüm halkımızın başı sağolsun.Anısı ve mücadelesi önünde saygıyla eğiliyoruz"" dedi.",1
10,aramızdan ayrıldı,aramızdan ayrılan,death,"Müdavimleri arasında gazeteci, edebiyatçı, oyuncu ve her türden sanatçının yer aldığı efsane meyhane yaza büyük bir atılım yaparak giriyor. Üç yıl önce aramızdan ayrılan Yakup Arslan’dan görevi devralan Yıldıray ve Ufuk Arslan’ın, Mystaff İnsan Kaynakları işbirliğiyle hayata geçirdiği Yakup 2 Bosphorus, klasikleşmiş lezzetlerini yenilenen mutfaklarıyla bir üst seviyeye taşıyarak misafirlerine hizmet vermeyi amaçlıyor. Etiketler: Beyoğlu , İstanbul","müdavimleri arasında gazeteci, edebiyatçı, oyuncu ve her türden sanatçının yer aldığı efsane meyhane yaza büyük bir atılım yaparak giriyor. üç yıl önce aramızdan ayrılan yakup arslan’dan görevi devralan yıldıray ve ufuk arslan’ın, mystaff i̇nsan kaynakları işbirliğiyle hayata geçirdiği yakup 2 bosphorus, klasikleşmiş lezzetlerini yenilenen mutfaklarıyla bir üst seviyeye taşıyarak misafirlerine hizmet vermeyi amaçlıyor. etiketler: beyoğlu , i̇stanbul",453,57,"Müdavimleri arasında gazeteci, edebiyatçı, oyuncu ve her türden sanatçının yer aldığı efsane meyhane yaza büyük bir atılım yaparak giriyor. Üç yıl önce [PET_BOUNDARY]aramızdan ayrılan[PET_BOUNDARY] Yakup Arslan’dan görevi devralan Yıldıray ve Ufuk Arslan’ın, Mystaff İnsan Kaynakları işbirliğiyle hayata geçirdiği Yakup 2 Bosphorus, klasikleşmiş lezzetlerini yenilenen mutfaklarıyla bir üst seviyeye taşıyarak misafirlerine hizmet vermeyi amaçlıyor. Etiketler: Beyoğlu , İstanbul",1
